	Kingdom	Phylum	Class	Order	Family	Genus
ASV337	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halieaceae OM60(NOR5) clade
ASV339	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaeria group P.palmC41  	Lentisphaeria group P.palmC41  	Lentisphaeria group P.palmC41  
ASV342	Bacteria	Proteobacteria	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.
ASV355	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria unclass. 	Gammaproteobacteria unclass. 	Gammaproteobacteria unclass. 
ASV363	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
ASV370	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales	Rhodospirillales
ASV392	Bacteria	Verrucomicrobiota	Lentisphaeria	Lentisphaeria group P.palmC41  	Lentisphaeria group P.palmC41  	Lentisphaeria group P.palmC41  
ASV393	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV409	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Lawsonella
ASV421	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria unclass. 	Gammaproteobacteria unclass. 	Gammaproteobacteria unclass. 
ASV436	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Endozoicomonas
ASV507	Bacteria	Proteobacteria	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.	Proteobacteria unclass.
